name,team,opposition,overs,maidens,runs,wickets,economy,match_id,year
Anrich Nortje,DC,RR,4.0,0,25,1,6.25,rajasthan-royals-vs-delhi-capitals-23rd-match-1216500,2020
Ravichandran Ashwin,DC,RR,4.0,0,22,2,5.50,rajasthan-royals-vs-delhi-capitals-23rd-match-1216500,2020
Harshal Patel,DC,RR,4.0,0,29,1,7.25,rajasthan-royals-vs-delhi-capitals-23rd-match-1216500,2020
Axar Patel,DC,RR,2.0,0,8,1,4.00,rajasthan-royals-vs-delhi-capitals-23rd-match-1216500,2020
Marcus Stoinis,DC,RR,2.0,0,17,2,8.50,rajasthan-royals-vs-delhi-capitals-23rd-match-1216500,2020
Mohammed Shami,PBKS,KKR,4.0,0,30,1,7.50,kings-xi-punjab-vs-kolkata-knight-riders-24th-match-1216523,2020
Arshdeep Singh,PBKS,KKR,4.0,1,25,1,6.25,kings-xi-punjab-vs-kolkata-knight-riders-24th-match-1216523,2020
Chris Jordan,PBKS,KKR,4.0,0,37,0,9.25,kings-xi-punjab-vs-kolkata-knight-riders-24th-match-1216523,2020
Mujeeb Ur Rahman,PBKS,KKR,4.0,0,44,0,11.00,kings-xi-punjab-vs-kolkata-knight-riders-24th-match-1216523,2020
Ravi Bishnoi,PBKS,KKR,4.0,0,25,1,6.25,kings-xi-punjab-vs-kolkata-knight-riders-24th-match-1216523,2020
Pat Cummins,KKR,PBKS,4.0,0,29,0,7.25,kings-xi-punjab-vs-kolkata-knight-riders-24th-match-1216523,2020
Prasidh Krishna,KKR,PBKS,4.0,0,29,3,7.25,kings-xi-punjab-vs-kolkata-knight-riders-24th-match-1216523,2020
Kamlesh Nagarkoti,KKR,PBKS,3.0,0,40,0,13.33,kings-xi-punjab-vs-kolkata-knight-riders-24th-match-1216523,2020
Varun Chakravarthy,KKR,PBKS,4.0,0,27,0,6.75,kings-xi-punjab-vs-kolkata-knight-riders-24th-match-1216523,2020
Sunil Narine,KKR,PBKS,4.0,0,28,2,7.00,kings-xi-punjab-vs-kolkata-knight-riders-24th-match-1216523,2020
Nitish Rana,KKR,PBKS,1.0,0,7,0,7.00,kings-xi-punjab-vs-kolkata-knight-riders-24th-match-1216523,2020
Deepak Chahar,CSK,RCB,3.0,0,10,1,3.33,chennai-super-kings-vs-royal-challengers-bangalore-25th-match-1216525,2020
Sam Curran,CSK,RCB,4.0,0,48,1,12.00,chennai-super-kings-vs-royal-challengers-bangalore-25th-match-1216525,2020
Shardul Thakur,CSK,RCB,4.0,0,40,2,10.00,chennai-super-kings-vs-royal-challengers-bangalore-25th-match-1216525,2020
Dwayne Bravo,CSK,RCB,3.0,0,29,0,9.66,chennai-super-kings-vs-royal-challengers-bangalore-25th-match-1216525,2020
Karn Sharma,CSK,RCB,4.0,0,34,0,8.50,chennai-super-kings-vs-royal-challengers-bangalore-25th-match-1216525,2020
Ravindra Jadeja,CSK,RCB,2.0,0,7,0,3.50,chennai-super-kings-vs-royal-challengers-bangalore-25th-match-1216525,2020
Chris Morris,RCB,CSK,4.0,0,19,3,4.75,chennai-super-kings-vs-royal-challengers-bangalore-25th-match-1216525,2020
Navdeep Saini,RCB,CSK,4.0,0,18,0,4.50,chennai-super-kings-vs-royal-challengers-bangalore-25th-match-1216525,2020
Isuru Udana,RCB,CSK,4.0,0,30,1,7.50,chennai-super-kings-vs-royal-challengers-bangalore-25th-match-1216525,2020
